,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
0,0.10847808,0.07483753,0.04981399,0.10300156,0.043484356,0.048352752,0.10229155,0.08645754,0.056827284,0.07029847,0.053584363,0.05253658,0.04863253,0.05415841,0.047245003
1,0.040319648,0.44140393,0.030567618,0.03807557,0.034988906,0.029129991,0.036382847,0.03894294,0.028249336,0.034409888,0.028655171,0.053381372,0.046313424,0.07166129,0.04751801
2,0.048724037,0.035162408,0.20836031,0.045361143,0.052038938,0.063335456,0.040577542,0.051472936,0.08501684,0.049254674,0.04126065,0.06591353,0.07587321,0.08010764,0.05754075
3,0.08067141,0.056575704,0.033371445,0.20077546,0.027452284,0.046282876,0.1268903,0.04542182,0.05582328,0.119291775,0.04366391,0.04206874,0.036063492,0.051945537,0.03370198
4,0.06199483,0.026829565,0.054508936,0.04753116,0.1511892,0.09500559,0.04562388,0.052413095,0.07123061,0.049472824,0.103007436,0.05437427,0.07067395,0.03962119,0.0765235
5,0.052733496,0.10748927,0.06455364,0.049132526,0.061006743,0.07438076,0.047858797,0.052067194,0.061469924,0.058112603,0.06461423,0.11163958,0.05419871,0.08363778,0.057104703
6,0.0615384,0.1463657,0.06996995,0.07564177,0.038671423,0.043964285,0.10383321,0.05469682,0.054481015,0.07282723,0.045164794,0.052802004,0.04572807,0.094694875,0.039620437
7,0.052994262,0.037694015,0.1403953,0.05802879,0.0938827,0.06498981,0.04351264,0.055195622,0.056452718,0.052100074,0.071156226,0.05187708,0.080549374,0.07355461,0.06761678
8,0.07098686,0.08227686,0.06601944,0.056365665,0.043041218,0.030247696,0.09490479,0.2665145,0.039620224,0.033417717,0.04002536,0.04503974,0.03532701,0.048701674,0.047511224
9,0.0898612,0.06282343,0.025133705,0.2575813,0.029141592,0.044044197,0.06850645,0.036732275,0.05159035,0.1009298,0.050474476,0.043886315,0.039769653,0.058212735,0.041312564
10,0.061693575,0.037485935,0.07111267,0.059525345,0.065582804,0.09509078,0.057819948,0.047858205,0.11711774,0.07829589,0.08063664,0.051129542,0.0625362,0.053102754,0.061012022
11,0.06902056,0.05840698,0.06244306,0.09269187,0.03759041,0.06718452,0.08150357,0.04146597,0.08951531,0.12591948,0.06201364,0.055365276,0.050684206,0.060865358,0.045329817
12,0.056274913,0.22626758,0.046208993,0.0639976,0.0328814,0.03244266,0.11604081,0.06515938,0.039802838,0.0673119,0.03542167,0.064980745,0.036919918,0.06942935,0.04686025
13,0.047021583,0.06041034,0.16534108,0.044763725,0.067770824,0.07245591,0.04541351,0.04697081,0.051485874,0.06521393,0.08364649,0.058052074,0.061267182,0.08346487,0.04672179
14,0.07311374,0.034340233,0.058111586,0.2100198,0.028170703,0.053481165,0.07252439,0.059240736,0.051642083,0.15108714,0.035011277,0.052080568,0.03383975,0.061385322,0.025951486
15,0.055556204,0.05053851,0.08195569,0.054075673,0.09532268,0.07201538,0.047133733,0.056317322,0.055891708,0.055368185,0.101526044,0.059945766,0.08239558,0.05636571,0.07559178
16,0.048910946,0.030539751,0.16223612,0.049150746,0.10137294,0.07449993,0.034165785,0.044694904,0.053373367,0.05466037,0.07819426,0.050387587,0.081369884,0.0756456,0.060797732
17,0.05705433,0.03365154,0.06167735,0.052675564,0.062246297,0.09309966,0.05421588,0.040986188,0.14589804,0.080274776,0.06977012,0.05497285,0.07597907,0.04813062,0.06936764
18,0.054529797,0.049817566,0.045575988,0.06729837,0.04906216,0.08200595,0.054407455,0.04130323,0.09829835,0.11391233,0.05753585,0.120014206,0.059316996,0.051101632,0.05582011
19,0.03886194,0.02946092,0.048066653,0.04340459,0.0781674,0.078667596,0.04168865,0.044446923,0.079637624,0.053831562,0.09485538,0.047349107,0.17862703,0.043818306,0.09911636
20,0.06375096,0.030368954,0.07691547,0.054147456,0.092340134,0.0927222,0.049695134,0.052030634,0.09137204,0.062126677,0.067486085,0.08441155,0.06316344,0.05235862,0.06711061
21,0.05578477,0.027841223,0.07561691,0.051317424,0.122063816,0.0787956,0.044148963,0.050998762,0.072731905,0.05378437,0.0822845,0.06737595,0.080944076,0.05059502,0.085716695
22,0.13956183,0.04572012,0.04597999,0.06917813,0.061047193,0.039263055,0.0790457,0.18082704,0.046481848,0.0483173,0.05260215,0.057910196,0.043587476,0.040301964,0.05017601
23,0.17277539,0.04381696,0.041886397,0.07052671,0.054400675,0.04461385,0.10800185,0.13643916,0.04710137,0.051063918,0.062537596,0.046987988,0.039918095,0.038190894,0.04173913
24,0.03393048,0.45807528,0.031756617,0.035199914,0.029804284,0.027492786,0.033166323,0.03434195,0.028795272,0.03238654,0.025903266,0.053667106,0.04876242,0.0733462,0.053371616
25,0.058591332,0.2353793,0.041850127,0.06753882,0.03335997,0.034297723,0.12773903,0.07467811,0.036669817,0.054034222,0.04278546,0.05392353,0.03588341,0.06112813,0.042141035
26,0.11723505,0.048978977,0.057365235,0.12321129,0.034951225,0.051156573,0.11363279,0.06743273,0.056012325,0.0846578,0.04896748,0.05299766,0.044997513,0.05939451,0.039008856
27,0.074973285,0.12708978,0.046340127,0.08850892,0.03424741,0.034476824,0.15612425,0.07678779,0.039688174,0.059104703,0.044541407,0.053083453,0.0419609,0.078000836,0.045072094
28,0.0702933,0.07578423,0.05429202,0.13007517,0.03309979,0.044676058,0.13098854,0.060503,0.054729424,0.09426122,0.04773346,0.05993624,0.044108544,0.060438707,0.039080296
29,0.015949493,0.029432643,0.030794142,0.013314131,0.013865986,0.01518838,0.013117667,0.036698177,0.01291875,0.018146671,0.008202726,0.5023263,0.009786177,0.27026233,0.00999646
30,0.08507123,0.057466716,0.04990068,0.15774468,0.031684306,0.049748063,0.12711117,0.059273213,0.055478398,0.099890046,0.04799769,0.045250762,0.040168058,0.056688137,0.036526807
31,0.05091484,0.020610569,0.07494879,0.054099392,0.08067765,0.09456991,0.04938736,0.038477518,0.12923066,0.07689058,0.06585315,0.05723836,0.0764979,0.04704747,0.083555885
32,0.060263354,0.043961454,0.055558857,0.052652277,0.102324165,0.09642972,0.053853676,0.05478685,0.061229534,0.054908887,0.12876846,0.049566165,0.07479704,0.04650088,0.06439866
33,0.040966336,0.09066951,0.049563292,0.03535613,0.050379835,0.052253988,0.039346997,0.04463834,0.049725816,0.052594416,0.045947373,0.060523927,0.06942604,0.2775116,0.041096408
34,0.058858477,0.06349056,0.070385434,0.050095856,0.06957437,0.07118111,0.054548908,0.055025514,0.07475256,0.056980018,0.074685164,0.045335174,0.11604884,0.064890854,0.07414716
35,0.040132783,0.34842646,0.06698802,0.04043871,0.03442176,0.03423161,0.032480486,0.03866469,0.031567175,0.037654277,0.03160377,0.053656895,0.056480855,0.10314581,0.050106715
36,0.051315732,0.02064599,0.045324046,0.03645056,0.07334287,0.06504346,0.04235978,0.056858554,0.0754393,0.047650505,0.048828356,0.04863436,0.11177525,0.039907314,0.23642397
37,0.05611647,0.04569304,0.08886311,0.046841618,0.076575905,0.094165824,0.044211987,0.057183962,0.07821406,0.052521016,0.07746869,0.0888133,0.062000223,0.070115685,0.06121518
